epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,1802.33,1.21064,0.6406,1.06102,0.90507,0.86487,0.92686,0.62722,1.1327,0.55878,1.07436,0.00079012,0.00079012,0.00079012
108,1819.1,1.2149,0.63848,1.06128,0.89788,0.86808,0.93114,0.62716,1.13502,0.55053,1.07585,0.00078814,0.00078814,0.00078814
109,1835.97,1.21752,0.6418,1.06217,0.90894,0.86475,0.92933,0.62995,1.13163,0.54647,1.07344,0.00078616,0.00078616,0.00078616
110,1852.83,1.20641,0.63694,1.06106,0.90318,0.86228,0.92906,0.62816,1.15159,0.5499,1.08091,0.00078418,0.00078418,0.00078418
111,1869.58,1.20772,0.63663,1.05932,0.89984,0.87077,0.93073,0.63089,1.13843,0.54664,1.07484,0.0007822,0.0007822,0.0007822
112,1886.46,1.21357,0.64148,1.05905,0.90126,0.87185,0.93126,0.63109,1.13361,0.54383,1.07522,0.00078022,0.00078022,0.00078022
113,1903.33,1.21108,0.64032,1.06137,0.90158,0.86406,0.93009,0.62968,1.13325,0.54987,1.07188,0.00077824,0.00077824,0.00077824
114,1920.18,1.21635,0.64149,1.05936,0.90003,0.87168,0.93001,0.63137,1.1224,0.54714,1.06971,0.00077626,0.00077626,0.00077626
115,1937.03,1.20858,0.63574,1.06105,0.9022,0.86829,0.92976,0.63004,1.13916,0.55017,1.07361,0.00077428,0.00077428,0.00077428
116,1953.87,1.21403,0.63836,1.06025,0.9047,0.86379,0.92999,0.63075,1.13534,0.54826,1.07049,0.0007723,0.0007723,0.0007723
117,1970.9,1.20651,0.63501,1.05784,0.90808,0.86833,0.93247,0.63258,1.12709,0.5405,1.07216,0.00077032,0.00077032,0.00077032
118,1987.79,1.20351,0.63608,1.05691,0.90687,0.8709,0.93184,0.63486,1.12718,0.54102,1.06951,0.00076834,0.00076834,0.00076834
119,2004.6,1.20997,0.63718,1.05568,0.89946,0.87133,0.93186,0.63107,1.13734,0.5398,1.07067,0.00076636,0.00076636,0.00076636
120,2021.37,1.20734,0.63541,1.0599,0.90542,0.86339,0.92938,0.63064,1.13671,0.54342,1.07282,0.00076438,0.00076438,0.00076438
121,2038.15,1.20139,0.63111,1.05576,0.90411,0.8649,0.93183,0.631,1.13716,0.54515,1.07172,0.0007624,0.0007624,0.0007624
122,2054.88,1.21029,0.638,1.05586,0.90191,0.8739,0.93206,0.63244,1.12302,0.54211,1.06834,0.00076042,0.00076042,0.00076042
123,2071.71,1.2076,0.63781,1.05717,0.90607,0.86591,0.93323,0.63499,1.11666,0.5341,1.06246,0.00075844,0.00075844,0.00075844
124,2088.56,1.20632,0.63262,1.05734,0.90587,0.86951,0.93247,0.63236,1.13187,0.53873,1.06758,0.00075646,0.00075646,0.00075646
125,2105.18,1.20003,0.62962,1.05364,0.90453,0.8632,0.93257,0.63355,1.13277,0.53999,1.06792,0.00075448,0.00075448,0.00075448
126,2122.01,1.20535,0.63418,1.059,0.90878,0.86389,0.93261,0.63277,1.14026,0.53821,1.07724,0.0007525,0.0007525,0.0007525
127,2138.85,1.20756,0.63633,1.05669,0.9028,0.87148,0.93296,0.63451,1.13125,0.53978,1.07154,0.00075052,0.00075052,0.00075052
128,2155.59,1.20137,0.63324,1.05722,0.90083,0.87778,0.9337,0.63444,1.13112,0.53571,1.07165,0.00074854,0.00074854,0.00074854
129,2172.32,1.19855,0.63062,1.05503,0.90028,0.87231,0.93311,0.63513,1.12114,0.539,1.06473,0.00074656,0.00074656,0.00074656
130,2189.24,1.21063,0.63495,1.05746,0.91065,0.86669,0.93304,0.6372,1.12321,0.53814,1.06525,0.00074458,0.00074458,0.00074458
131,2205.77,1.1998,0.62959,1.05393,0.90779,0.8729,0.9346,0.63725,1.12586,0.5339,1.06925,0.0007426,0.0007426,0.0007426
132,2222.61,1.20652,0.63106,1.05694,0.9056,0.87032,0.93378,0.63311,1.1256,0.53839,1.06733,0.00074062,0.00074062,0.00074062
133,2239.32,1.20012,0.63057,1.05611,0.90372,0.87297,0.9338,0.63473,1.12242,0.53759,1.06598,0.00073864,0.00073864,0.00073864
134,2256.04,1.1965,0.62861,1.05396,0.90158,0.86918,0.93076,0.63283,1.12505,0.5381,1.06918,0.00073666,0.00073666,0.00073666
135,2272.89,1.20568,0.63137,1.05624,0.90034,0.87844,0.93469,0.63518,1.12672,0.53595,1.06879,0.00073468,0.00073468,0.00073468
136,2289.65,1.19628,0.62486,1.0518,0.9048,0.8691,0.93394,0.63404,1.12686,0.53514,1.06906,0.0007327,0.0007327,0.0007327
137,2306.47,1.19839,0.63004,1.05588,0.90315,0.87195,0.93314,0.63471,1.12568,0.53551,1.06818,0.00073072,0.00073072,0.00073072
138,2323.23,1.2024,0.63297,1.05536,0.90312,0.87602,0.93405,0.63532,1.12805,0.53596,1.07083,0.00072874,0.00072874,0.00072874
139,2339.98,1.19599,0.62564,1.05253,0.90721,0.87735,0.93504,0.63583,1.12151,0.52892,1.0652,0.00072676,0.00072676,0.00072676
140,2356.67,1.19941,0.62583,1.05264,0.90946,0.87136,0.93427,0.637,1.1293,0.53239,1.06895,0.00072478,0.00072478,0.00072478
141,2373.45,1.19199,0.62416,1.05569,0.90997,0.86692,0.93438,0.63646,1.12731,0.52862,1.07115,0.0007228,0.0007228,0.0007228
142,2390.31,1.20532,0.62964,1.04932,0.91204,0.87079,0.93478,0.63833,1.12412,0.52859,1.06768,0.00072082,0.00072082,0.00072082
143,2406.92,1.20411,0.62858,1.05276,0.90652,0.87064,0.93257,0.63659,1.12014,0.53065,1.06662,0.00071884,0.00071884,0.00071884
144,2423.44,1.19898,0.62456,1.05029,0.91165,0.86672,0.93232,0.6348,1.12149,0.53028,1.06924,0.00071686,0.00071686,0.00071686
145,2440.1,1.19271,0.62391,1.05476,0.91099,0.86526,0.93229,0.63696,1.12078,0.52847,1.06964,0.00071488,0.00071488,0.00071488
146,2456.82,1.18704,0.61988,1.05248,0.91411,0.86864,0.93349,0.63484,1.12079,0.52716,1.06559,0.0007129,0.0007129,0.0007129
147,2473.51,1.19921,0.62668,1.04867,0.90611,0.87222,0.93292,0.63686,1.11983,0.53168,1.06548,0.00071092,0.00071092,0.00071092
148,2490.32,1.19463,0.62359,1.05376,0.90241,0.87453,0.93453,0.63683,1.12418,0.52322,1.07095,0.00070894,0.00070894,0.00070894
149,2507.16,1.18656,0.62069,1.04977,0.90445,0.87079,0.93435,0.63587,1.12734,0.52852,1.07123,0.00070696,0.00070696,0.00070696
150,2523.93,1.19502,0.62761,1.04987,0.90306,0.87457,0.93385,0.63731,1.12909,0.5303,1.06776,0.00070498,0.00070498,0.00070498
151,2540.72,1.1927,0.6243,1.05268,0.90211,0.87743,0.93266,0.63723,1.13167,0.52991,1.0689,0.000703,0.000703,0.000703
152,2557.45,1.19076,0.62627,1.05284,0.90534,0.87405,0.9351,0.63741,1.12456,0.52643,1.06828,0.00070102,0.00070102,0.00070102
153,2574.16,1.18865,0.62024,1.05009,0.90606,0.8765,0.93549,0.63913,1.12571,0.52762,1.07259,0.00069904,0.00069904,0.00069904
154,2591.04,1.19016,0.62379,1.0518,0.9036,0.88023,0.93528,0.63995,1.12348,0.52619,1.07049,0.00069706,0.00069706,0.00069706
155,2607.89,1.20092,0.627,1.05443,0.90511,0.87783,0.93464,0.63665,1.12361,0.52716,1.0717,0.00069508,0.00069508,0.00069508
156,2624.75,1.19062,0.6213,1.04688,0.9096,0.87238,0.93386,0.63598,1.12254,0.52619,1.07172,0.0006931,0.0006931,0.0006931
157,2641.52,1.19206,0.61928,1.05065,0.90901,0.87281,0.93383,0.63568,1.12458,0.52802,1.07149,0.00069112,0.00069112,0.00069112
158,2658.14,1.18522,0.61666,1.0467,0.90385,0.87594,0.93402,0.63731,1.12602,0.52284,1.07183,0.00068914,0.00068914,0.00068914
159,2675.04,1.19296,0.6232,1.05023,0.90846,0.87221,0.93538,0.63707,1.12417,0.525,1.07393,0.00068716,0.00068716,0.00068716
160,2691.8,1.18784,0.61874,1.04834,0.90256,0.87699,0.9343,0.63712,1.12408,0.52764,1.06988,0.00068518,0.00068518,0.00068518
161,2708.62,1.18592,0.61713,1.05091,0.90614,0.87273,0.93474,0.63831,1.12511,0.52641,1.07165,0.0006832,0.0006832,0.0006832
162,2725.38,1.18595,0.62214,1.05192,0.90505,0.87482,0.93351,0.6375,1.12742,0.5263,1.07373,0.00068122,0.00068122,0.00068122
163,2742.28,1.18445,0.61831,1.05115,0.90556,0.87149,0.93437,0.63768,1.12107,0.52747,1.06831,0.00067924,0.00067924,0.00067924
164,2759.09,1.19063,0.61958,1.05021,0.90335,0.87289,0.9341,0.6378,1.12132,0.52762,1.0696,0.00067726,0.00067726,0.00067726
165,2775.93,1.18153,0.61449,1.05194,0.90642,0.87114,0.93448,0.63791,1.11887,0.52953,1.0676,0.00067528,0.00067528,0.00067528
